freq_Hz,cR_pick_ms,cR_hydro_prior_ms,lambda_m,z_lambda3_m,Vs_equiv_cR_over_0p92_ms
8.000017600034663,94.0,123.2893485190132,11.749974150005958,3.916658050001986,102.17391304347825
8.166684633368718,90.0,121.68226498461837,11.020383918372938,3.673461306124312,97.82608695652173
8.333351666702773,95.0,120.00284422837501,11.399974920005782,3.799991640001928,103.26086956521739
8.50001870003683,87.0,118.2407329368539,10.235271600005191,3.4117572000017304,94.56521739130434
8.666685733370885,88.0,116.38296538927833,10.153823815389764,3.3846079384632546,95.65217391304347
8.83335276670494,88.0,114.41298279517042,9.962242233967318,3.3207474113224396,95.65217391304347
9.000019800038995,84.0,112.68831387477698,9.333312800004734,3.111104266668245,91.30434782608695
9.166686833373051,81.0,112.20918324737012,8.836344196368119,2.945448065456039,88.04347826086956
9.333353866707107,88.0,111.73067328927785,9.428550685719067,3.1428502285730224,95.65217391304347
9.500020900041163,83.0,111.24763557415191,8.736822884214957,2.912274294738319,90.21739130434783
9.666687933375217,84.0,110.75952298576847,8.689636055176821,2.896545351725607,91.30434782608695
9.833354966709273,89.0,110.2660624651005,9.050827545767303,3.0169425152557676,96.73913043478261
10.000022000043328,102.0,109.76700709342464,10.199977560005173,3.3999925200017245,110.8695652173913
10.166689033377384,93.0,109.26214232541037,9.147520859021032,3.0491736196736774,101.08695652173913
10.333356066711438,85.0,108.7512712178085,8.225788354842882,2.7419294516142942,92.39130434782608
10.500023100045494,86.0,108.23414933410056,8.190458171432725,2.730152723810909,93.47826086956522
10.66669013337955,86.0,107.71052479840318,8.062482262504089,2.6874940875013626,93.47826086956522
10.833357166713606,83.0,107.18019772667267,7.661521606157732,2.5538405353859104,90.21739130434783
11.000024200047662,84.0,106.64285694040136,7.636346836367509,2.545448945455836,91.30434782608695
11.166691233381716,85.0,106.09821860884108,7.611923552242667,2.5373078507475553,92.39130434782608
11.333358266715772,85.0,105.54598033073862,7.499983500003804,2.499994500001268,92.39130434782608
11.500025300049828,85.0,104.9858612159934,7.39128808696027,2.4637626956534233,92.39130434782608
11.666692333383883,84.0,104.4174763606618,7.199984160003652,2.3999947200012173,91.30434782608695
11.833359366717938,83.0,103.84045291082296,7.014069076059896,2.3380230253532988,90.21739130434783
12.000026400051993,88.0,103.25438953983124,7.3333172000037194,2.4444390666679063,95.65217391304347
12.16669343338605,86.0,102.65885336049732,7.068477600003585,2.356159200001195,93.47826086956522
12.333360466720105,86.0,102.0533764004783,6.9729576324359686,2.3243192108119897,93.47826086956522
12.500027500054161,86.0,101.43747825065992,6.879984864003489,2.2933282880011627,93.47826086956522
12.666694533388215,84.0,100.81060520975163,6.6315643578981005,2.2105214526327,91.30434782608695
12.833361566722271,85.0,100.17214338314817,6.623362051951411,2.2077873506504706,92.39130434782608
13.000028600056327,85.0,99.52143930489501,6.53844715384947,2.17948238461649,92.39130434782608
13.166695633390383,84.0,98.85777729580984,6.379732800003236,2.1265776000010783,91.30434782608695
13.333362666724437,83.0,98.18037106490996,6.224986305003157,2.074995435001053,90.21739130434783
13.500029700058493,82.0,97.48835383167086,6.074060711114192,2.0246869037047306,89.13043478260869
13.666696733392548,82.0,96.78076664510021,5.999986800003043,1.9999956000010144,89.13043478260869
13.833363766726604,94.0,96.05654448997797,6.7951657734974225,2.2650552578324743,102.17391304347825
14.00003080006066,94.0,95.31449965823415,6.714270942860548,2.238090314286849,102.17391304347825
14.166697833394714,92.0,94.55330171458323,6.494103360003294,2.164701120001098,100.0
14.33336486672877,90.0,93.77145318640638,6.279055953491557,2.0930186511638524,97.82608695652173
14.500031900062826,88.0,92.96725983864661,6.06895216552032,2.0229840551734397,95.65217391304347
